logistics_pros	frequency	percentage
employer is well organized in terms of virtual meetings and transition to remote work	16	25.8
more time to read, analyze, write	16	25.8
employer allowed to take office equipement home which helped a lot	8	12.9
Easier to attend online workshops, seminars, conferences	4	6.5
employer does a great job with keeping staff informed	4	6.5
better daily structure	3	4.8
focus on personal wellbeing is increased	3	4.8
more flexibility	3	4.8
more work space than in shared office	2	4.8
more productive	1	1.6
new research opportunities	1	1.6
no commute	1	1.6

